"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Moral Hazard and the Greek Bailout : Effects on the risks of investing in the European market","https://scispace.com/paper/moral-hazard-and-the-greek-bailout-effects-on-the-risks-of-4xn4fop9ky","2012","","","Nice Muhanzu","","https://scispace.com/pdf/moral-hazard-and-the-greek-bailout-effects-on-the-risks-of-4xn4fop9ky.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Discusses multicollinearity and VIF in regression analysis, but provides no linear mixed-effects models or viscosity prediction for heavy oil reservoirs.","Moral Hazard and the Greek Bailout : Effects on the risks of investing in the European market"
"Using multi-temporal Landsat imagery and linear mixed models for assessing water quality parameters in Río Tercero reservoir (Argentina)","https://scispace.com/paper/using-multi-temporal-landsat-imagery-and-linear-mixed-models-3mim97qi2m","2015","Journal Article","Remote Sensing of Environment","Matias Bonansea
María Claudia Rodriguez
Lucio P. Pinotti
Susana Ferrero","10.1016/J.RSE.2014.10.032","https://www.academia.edu/download/86763381/j.rse.2014.10.03220220531-1-qav7d5.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses REML to estimate variance–covariance in linear mixed models for water quality; does not involve viscosity prediction or full diagnostic suite.",""
"Spatial Estimation of Regional PM2.5 Concentrations with GWR Models Using PCA and RBF Interpolation Optimization","https://scispace.com/paper/spatial-estimation-of-regional-pm2-5-concentrations-with-gwr-3sx6nmd8","2022","Journal Article","Remote sensing","Youbing Tang
Shaofeng Xie
Liyan Huang
Lilong Liu
Pengzhi Wei
Yabo Zhang
Chunyang Meng","10.3390/rs14215626","https://scispace.com/pdf/spatial-estimation-of-regional-pm2-5-concentrations-with-gwr-3sx6nmd8.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Addresses multicollinearity and VIF in PCA‑GWR PM2.5 spatial estimation, but does not involve LMMs, viscosity prediction, or full diagnostic suite.","In recent years, geographically weighted regression (GWR) models have been widely used to address the spatial heterogeneity and spatial autocorrelation of PM2.5, but these studies have not fully considered the effects of all potential variables on PM2.5 variation and have rarely optimized the models for residuals. Therefore, we first propose a modified GWR model based on principal component analysis (PCA-GWR), then introduce five different spatial interpolation methods of radial basis functions to correct the residuals of the PCA-GWR model, and finally construct five combinations of residual correction models to estimate regional PM2.5 concentrations. The results show that (1) the PCA-GWR model can fully consider the contributions of all potential explanatory variables to estimate PM2.5 concentrations and minimize the multicollinearity among explanatory variables, and the PM2.5 estimation accuracy and the fitting effect of the PCA-GWR model are better than the original GWR model. (2) All five residual correction combination models can better achieve the residual correction optimization of the PCA-GWR model, among which the PCA-GWR model corrected by Multiquadric Spline (MS) residual interpolation (PCA-GWRMS) has the most obvious accuracy improvement and more stable generalizability at different time scales. Therefore, the residual correction of PCA-GWR models using spatial interpolation methods is effective and feasible, and the results can provide references for regional PM2.5 spatial estimation and spatiotemporal mapping. (3) The PM2.5 concentrations in the study area are high in winter months (January, February, December) and low in summer months (June, July, August), and spatially, PM2.5 concentrations show a distribution of high north and low south."
"A PM2.5 Concentration Prediction Model Based on CART–BLS","https://scispace.com/paper/a-pm2-5-concentration-prediction-model-based-on-cart-bls-2ex5onu4","2022","Journal Article","Atmosphere","Lin Wang
Yibing Wang
Jian Chen
Xiuqiang Shen","10.3390/atmos13101674","https://scispace.com/pdf/a-pm2-5-concentration-prediction-model-based-on-cart-bls-2ex5onu4.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Analyzes PM2.5 using CART‑BLS and reports VIF‑based multicollinearity checks, but contains no linear mixed‑effects models or viscosity‑related heavy‑oil analysis.","With the development of urbanization, the hourly PM2.5 concentration in the air is constantly changing. In order to improve the accuracy of PM2.5 prediction, a prediction model based on the Classification and Regression Tree (CART) and Broad Learning System (BLS) was constructed. Firstly, the CART algorithm was used to segment the dataset in a hierarchical way to obtain a subset with similar characteristics. Secondly, the BLS model was trained by using the data of each subset, and the validation error of each model was minimized by adjusting the window number of the mapping layer in the BLS network. Finally, for each leaf in the tree, the global BLS model and the local BLS model on the path from the root node to the leaf node are compared, and the model with the smallest error is selected. The data collected in this paper come from the Chine Meteorological Historical Data website. We selected historical data from the Huaita monitoring station in Xuzhou city for experimental analysis, which included air pollutant content and meteorological data. Experimental results show that the prediction effect of the CART–BLS model is better than that of RF, V-SVR, and seasonal BLS models."
"Winter and spring controls on the summer food web of the coastal West Antarctic Peninsula","https://scispace.com/paper/winter-and-spring-controls-on-the-summer-food-web-of-the-1u8yjsa2ut","2014","Journal Article","Nature Communications","Grace Saba
William R. Fraser
Vincent S. Saba
Richard A. Iannuzzi
Kaycee E. Coleman
Scott C. Doney
Hugh W. Ducklow
Douglas G. Martinson
Travis Miles
Donna L. Patterson-Fraser
Sharon Stammerjohn
Sharon Stammerjohn
Deborah K. Steinberg
Oscar Schofield","10.1038/NCOMMS5318","https://scispace.com/pdf/winter-and-spring-controls-on-the-summer-food-web-of-the-1u8yjsa2ut.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Addresses multicollinearity and VIF in regression analysis, but lacks LMMs, viscosity prediction, or heavy‑oil focus.","Understanding the mechanisms by which climate variability affects multiple trophic levels in food webs is essential for determining ecosystem responses to climate change. Here we use over two decades of data collected by the Palmer Long Term Ecological Research program (PAL-LTER) to determine how large-scale climate and local physical forcing affect phytoplankton, zooplankton and an apex predator along the West Antarctic Peninsula (WAP). We show that positive anomalies in chlorophyll-a (chl-a) at Palmer Station, occurring every 4-6 years, are constrained by physical processes in the preceding winter/spring and a negative phase of the Southern Annular Mode (SAM). Favorable conditions for phytoplankton included increased winter ice extent and duration, reduced spring/summer winds, and increased water column stability via enhanced salinity-driven density gradients. Years of positive chl-a anomalies are associated with the initiation of a robust krill cohort the following summer, which is evident in Adelie penguin diets, thus demonstrating tight trophic coupling. Projected climate change in this region may have a significant, negative impact on phytoplankton biomass, krill recruitment and upper trophic level predators in this coastal Antarctic ecosystem."
"Utilization of palm oil mill effluent for polyhydroxyalkanoate production and nutrient removal using statistical design","https://scispace.com/paper/utilization-of-palm-oil-mill-effluent-for-4125rpnsm1","2014","Journal Article","International Journal of Environmental Science and Technology","Mohd Fadhil Md Din
Mohanadoss Ponraj
M.C.M. van Loosdrecht
Zaini Ujang
Shreeshivadasan Chelliapan
Vasudeo Zambare","10.1007/S13762-013-0253-9","https://scispace.com/pdf/utilization-of-palm-oil-mill-effluent-for-4125rpnsm1.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses VIF to detect multicollinearity in response surface model diagnostics","The optimization for poly-β-hydroxyalkanoate production was carried out with nutrient removal efficiency for total organic carbon (TOC), phosphate, and nitrate from palm oil mill effluent waste. The experiment was conducted in a fabricated fed-batch reactor and the data obtained was analyzed using central composite rotatable design and factorial design for response surface methodology as a systematic approach for designing the experiment statistically to obtain valid results with minimum effort, time, and resources. The analysis of numerical optimization with propagation of error showed that 66 % of poly-β-hydroxyalkanoate production can be obtained with nutrient removal of TOC and nitrate by 19 and 3 %, respectively. However, phosphate removal efficiency was not found to be much effective. More over, the chemical oxygen demand: nitrogen phosphate (509 g/g N), chemical oxygen demand: phosphate (200 g/g P), air flow rate (0.59 L/min), substrate feeding rate (20 mL/min), and cycle length (20 h) were the optimized variables for maximum poly-β-hydroxyalkanoate production and nutrient removal."
"Corruption, Government Effectiveness and Human Development in Sub-Saharan Africa","https://scispace.com/paper/corruption-government-effectiveness-and-human-development-in-475pohz9y5","2020","Journal Article","","Sakiru Oladele Akinbode
Jayeola Olabisi
Remilekun R. Adegbite
Timothy A. Aderemi
Abimbola M. Alawode","10.32873/UNL.DC.JADE912","https://scispace.com/pdf/corruption-government-effectiveness-and-human-development-in-475pohz9y5.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Analyzes multicollinearity and VIF in regression models of corruption and development; does not use LMMs or predict heavy‑oil viscosity.","Aside economic factors causing low human development which have been extensively studied in
literature, the implications of high level of corruption and weak governance prevalent in sub-
Saharan African (SSA) countries have not been explored. The study assessed the effects of
corruption, government effectiveness and their joint effect on human development in SSA. Data
collected on thirty-seven (37) countries within the period of 2005 to 2018 were analyzed using
system Generalized Method of Moment which was most suitable for the dataset. Results indicated
that lagged human development index (P<0.01), government effectiveness (P<0.05), economic
growth rate (P<0.1) and government health spending (P<0.1) had significant positive effect on
human development while corruption and its interaction with government effectiveness did not.
The results of Arrelano-Bond test of first order autocorrelation and second order autocorrelation
of error term as well as the Sargan test and Hansen J test for validity of instrumental variables
confirmed the validity of the model. The robustness of the estimation was established as the
coefficient of the lagged dependent variable fell between the values in the fixed effect and pooled
ordinary least square regression. The study recommended retraining and reorientation of
government employees towards the mindset of effective service delivery and strong political will
to achieve it, diversification of SSA economies alongside other growth stimulating policies such
as reduced lending interest rate on loans meant for the real sector, improvement in the ease of
doing business, improved funding of the health sector and proper monitoring of activities in the
public service by concerned agencies to curb corruption where it is present."
"REML estimation with intrinsic Matérn dependence in the spatial linear mixed model","https://scispace.com/paper/reml-estimation-with-intrinsic-matern-dependence-in-the-2qrpii5fuj","2016","Journal Article","Electronic Journal of Statistics","Somak Dutta
Debashis Mondal","10.1214/16-EJS1125","https://projecteuclid.org/journals/electronic-journal-of-statistics/volume-10/issue-2/REML-estimation-with-intrinsic-Mat%C3%A9rn-dependence-in-the-spatial-linear/10.1214/16-EJS1125.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses REML estimation for spatial linear mixed models, but provides no viscosity prediction or heavy‑oil context and lacks comprehensive diagnostic coverage.","We present a new matrix-free residual maximum likelihood (REML) analysis for irregularly spaced spatial data, where observations usually represent average values over very small regions that are interpreted as points. The REML analysis is obtained after embedding the sampling locations in a fine scale rectangular lattice, treating unobserved sites as missing data. The spatial random fields considered here are based on fractional Laplacian differencing on the lattice and they are unique in approximating continuum intrinsic Matern dependence. Here, using the h-likelihood method, we derive REML estimating equations that allow for singular precision matrices, estimation of covariate effects, prediction of unobserved spatial effects and REML estimation of precision parameters as a solution to an explicit gamma non-linear model. Furthermore, we devise a sophisticated computational algorithm that enables us to achieve scalable matrix-free statistical computations. In particular, these matrix-free computations include the use of (1) the two-dimensional discrete cosine transformation that arises in the spectral decomposition of the precision matrix of our spatial random fields and that allows fast matrix-free matrix-vector multiplication, (2) a matrix-free pre-conditioned Lanczos algorithm that solves non-sparse matrix equations with linear constraints, (3) a matrix-free Hutchinson’s trace estimator that stochastically approximates the trace of a matrix, (4) a robust trust region method that always finds a local maximum of the non-concave residual log-likelihood function and (5) some preliminary computations of the log REML likelihood function based on Taylor series approximation. Using computer experiments, we provide further understanding on not just the number and values but also the basins of attraction of the local and global maxima of the REML function. This understanding significantly simplifies the problem of finding global maxima. We further demonstrate through computer experiments that our matrix-free REML estimators attain both efficiency and geostatistical inference, and surpass the widely used INLA methods in computational times. We provide an extensive application on mapping ground water arsenic concentration in Bangladesh, indicating numeric consistency of results and robustness of inference to changes of lattice spacing. The paper closes with some discussions that include computations in the stationary case, conditional simulations and matrix-free MCMC computations."
"Ecological conditions predict the intensity of Hendra virus excretion over space and time from bat reservoir hosts","https://scispace.com/paper/ecological-conditions-predict-the-intensity-of-hendra-virus-qstxnb6qpf05","2023","Repository","","Becker, Daniel J.
Peel, Alison J.","10.5281/zenodo.14820824","https://par.nsf.gov/servlets/purl/10390347","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses REML in GAMMs for virus excretion modeling, but does not involve LMMs for viscosity prediction or heavy‑oil reservoir context.","(Uploaded by Plazi for the Bat Literature Project) The ecological conditions experienced by wildlife reservoirs affect infection dynamics and thus the distribution of pathogen excreted into the environment. This spatial and temporal distribution of shed pathogen has been hypothesised to shape risks of zoonotic spillover. However, few systems have data on both long-term ecological conditions and pathogen excretion to advance mechanistic understanding and test environmental drivers of spillover risk. We here analyse three years of Hendra virus data from nine Australian flying fox roosts with covariates derived from long-term studies of bat ecology. We show that the magnitude of winter pulses of viral excretion, previously considered idiosyncratic, are most pronounced after recent food shortages and in bat populations displaced to novel habitats. We further show that cumulative pathogen excretion over time is shaped by bat ecology and positively predicts spillover frequency. Our work emphasises the role of reservoir host ecology in shaping pathogen excretion and provides a new approach to estimate spillover risk. "
"Winter in two phases: Long‐term study of a shallow reservoir in winter","https://scispace.com/paper/winter-in-two-phases-long-term-study-of-a-shallow-reservoir-5cw4e5dq2k","2021","Journal Article","Limnology and Oceanography","Emily Cavaliere
Helen M. Baulch","10.1002/LNO.11687","https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lno.11687","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses REML estimation for model selection, but does not apply linear mixed-effects models to viscosity prediction in heavy‑oil reservoirs.",""
"Innovative adaptation and operational efficiency on sustainable competitive advantage of food and beverage firms in Kenya","https://scispace.com/paper/innovative-adaptation-and-operational-efficiency-on-2rrawt0bkn","2015","","","Paul Gachanja
David Minja
Stephen Laititi Mutunga","","https://scispace.com/pdf/innovative-adaptation-and-operational-efficiency-on-2rrawt0bkn.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Addresses multicollinearity and VIF in regression analysis of human capital effects, but lacks linear mixed-effects models and any viscosity prediction context.","The idea that an organization’s members are the real source of its competitive advantage has long been acknowledged. The significance of human capital as a determinant of firm performance is gaining recognition in the strategic management literature, and the need for relating employee talent to a firm’s competitive advantage is continuing to develop in the human resource management arena hence the drive to establish superior human capital to generate competitive advantage Many firms have explicitly embraced competitive strategies to gain and maintain a lead in their industries. In all the competitive strategies firms have engaged in, human capital has been the driver of competition. This study endeavoured to empirically test the effects of human capital and especially in innovation and operational efficiency in according food and beverage firms the requisite competitive advantage in the very dynamic industry. the study sought to answer the following research question: What are the effects of human capital (in innovative adaptation and dynamic operational efficiency) on firms’ ability to attain sustainable competitive advantage within the F & B companies in Kenya? This research entailed a descriptive study design. This study sought to do that among the F & B firms in Kenya. The study was concerned with describing the characteristics of a unique group of food and beverage firms and their competitiveness. From the study, 87 percent of respondents indicated concurrence on usefulness of human resources for SCA. Kenyan firms in the food and beverage industry therefore highly regard human capital as a major contributor to sustainable competitive advantage. The study established that internal processes largely rely on how capabilities are harnessed for competitive advantage."
"Estimating the spatial scales of regionalized variables by nested sampling, hierarchical analysis of variance and residual maximum likelihood","https://scispace.com/paper/estimating-the-spatial-scales-of-regionalized-variables-by-3ytjjmuj3s","2006","Journal Article","Computers & Geosciences","Richard Webster
S. J. Welham
Jacqueline M. Potts
M. A. Oliver","10.1016/J.CAGEO.2005.12.002","","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses REML estimation for variance components, but does not involve LMMs for viscosity prediction or heavy‑oil reservoir context, nor cover all diagnostics.",""
