"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Thermodynamic activation functions of viscous flow of non-polar liquids","https://scispace.com/paper/thermodynamic-activation-functions-of-viscous-flow-of-non-4lmz6358z7","1986","Journal Article","Rheologica Acta","J. Kotas
M. Valešová","10.1007/BF01357960","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Determines thermodynamic activation functions for viscous flow of n‑alkanes using Eyring’s pre‑exponential factor, linking viscosity to density, permittivity, and temperature.","The thermodynamic activation function of viscous flow may be determined from the expression for the pre-exponential factor in the Eyring relationship (the viscosity coefficient), which is a function of density and relative permittivity, together with the thermal dependence of the viscosity coefficient. This method of determination is demonstrated for a series of n-alkanes C6–C20."
"Eyring-Theory-Based Model To Estimate Crude Oil Viscosity at Reservoir Conditions†","https://scispace.com/paper/eyring-theory-based-model-to-estimate-crude-oil-viscosity-at-3oh5oiu9g5","2009","Journal Article","Energy & Fuels","Ricardo Macías-Salinas
C. Duran-Valencia
Simón López-Ramírez
Christian Bouchot","10.1021/EF8003015","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Eyring theory to estimate crude oil viscosity, incorporates cubic EOS for thermodynamic properties; does not explicitly discuss molecular activation energy.","The well-known absolute reaction rate theory of Eyring was successfully extended to the accurate estimation of crude oil viscosities over a wide pressure range: from dead to live oil conditions. Two simple cubic equations of state (Soave or Peng−Robinson) were incorporated into the viscosity model to calculate all of the thermodynamic properties required within the Eyring’s modeling framework. Satisfactory density and viscosity representations of various crude oils (with low-to-moderate molar masses) were achieved by using two tuning parameters valid over a wide pressure range."
"Modelación de la viscosidad dinámica de fluidos newtonianos a partir de la teoría de Eyring y la energía libre de Helmholtz residual","https://scispace.com/paper/modelacion-de-la-viscosidad-dinamica-de-fluidos-newtonianos-xg877oq0","2022","Journal Article","Revista EIA","Luis Fernando Cardona Palacio","10.24050/reia.v19i38.1535","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Eyring theory with Helmholtz residual free energy to model dynamic viscosity of n‑alkanes and n‑alcohols, achieving low prediction errors.","En este trabajo se modela la viscosidad dinámica de fluidos newtonianos a partir de la teoría de Eyring junto con la energía libre de Helmholtz residual. Para la estimación de esta energía se utiliza una versión modificada de la ecuación cúbica de estado de Peng-Robinson. Los parámetros ajustables del modelo se han determinado a partir de datos experimentales en la zona coexistencia líquido-vapor para n-alcanos y n-alcoholes. Posteriormente estos parámetros se han generalizado utilizando expresiones matemáticas simples que dependen del peso molecular de cada sustancia. Se evalúan las capacidades predictivas del modelo en condiciones de una sola fase. Las desviaciones absolutas durante el proceso de correlación son menores de 3,27%, mientras que en el proceso de predicción son menores de 5,60%. El modelo generalizado es extendido a mezclas binarias utilizando una regla de mezcla simple sin y con coeficientes de interacción, con desviaciones absolutas de 8,19% y 3,45%, respectivamente. Finalmente, el modelo es comparado con otros en la literatura y los resultados estadísticos muestran que proporciona resultados aceptables."
"Thermodynamic model of viscosity of hydrocarbons and their mixtures","https://scispace.com/paper/thermodynamic-model-of-viscosity-of-hydrocarbons-and-their-2hxx7azwxp","2010","Journal Article","International Journal of Heat and Mass Transfer","I. V. Derevich","10.1016/J.IJHEATMASSTRANSFER.2010.04.035","https://www.academia.edu/download/112250419/j.ijheatmasstransfer.2010.04.03520240309-1-46jn3s.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Eyring hypothesis to model dynamic viscosity of liquid hydrocarbons, incorporating thermodynamic properties of liquid and vapor phases; does not explicitly discuss molecular activation energy.",""
"Theories of viscosity","https://scispace.com/paper/theories-of-viscosity-4whs28v5er","2007","Book Chapter","","Dabir S. Viswanath
Tushar K. Ghosh
D. H. L. Prasad
Nidamarty V.K. Dutt
Kalipatnapu Yamuna Rani","10.1007/978-1-4020-5482-2_3","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Eyring’s absolute rate theory to model viscosity of crude oil fractions, linking statistical thermodynamics; does not discuss molecular activation energy.",""
"Models for Estimating the Viscosity of Paraffinic–Naphthenic Live Crude Oils","https://scispace.com/paper/models-for-estimating-the-viscosity-of-paraffinic-naphthenic-45w64sua5a","2018","Journal Article","Energy & Fuels","Luciana L.P.R. Andrade
Krishnaswamy Rajagopal","10.1021/ACS.ENERGYFUELS.7B03903","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Applies Eyring theory to model viscosity of paraffinic‑naphthenic live crude oils, linking pressure via a thermodynamic relation.","Viscosity is an important property of live crude oil used in design and operation of production processes. Eleven widely used empirical correlations for estimating undersaturated oil viscosity were evaluated using measured undersaturated oil viscosity for live crude oils from primary separators of the ten Brazilian oil wells. The oil samples were characterized as paraffinic-naphthenic crudes. The empirical correlations were found to be inadequate to represent the measured data. The better literature models present average absolute percent relative errors of 1.18 % and 1.40 %, but show wider scatter of data. For more accurate estimates of undersaturated oil viscosity of paraffinic-naphthenic live crudes oils, a new model based on Eyring theory is proposed and this model correlates the experimental data with average absolute percent relative error of 0.97 %."
"Desarrollo de un viscosímetro de hilo vibrante para la caracterización termofísica a alta presión de nuevos biocombustibles","https://scispace.com/paper/desarrollo-de-un-viscosimetro-de-hilo-vibrante-para-la-1h0o1j45ue","2014","Dissertation","","Zambrano Carranza
Johnny Robinson","10.35376/10324/9124","https://scispace.com/pdf/desarrollo-de-un-viscosimetro-de-hilo-vibrante-para-la-1h0o1j45ue.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Applies Eyring theory to model viscosity of liquid hydrocarbons and develops a vibrating‑wire viscometer for high‑pressure thermophysical characterization, but does not discuss molecular activation energy.","La viscosidad, propiedad termodinamica y de transporte de los fluidos, es clave para la caracterizacion de compuestos puros y de mezclas, asi como en el tratamiento de informacion para el diseno de procesos industriales o para la medicion de caudal; su exactitud es necesaria para garantizar la calidad de muchos productos. La mayoria de las tecnicas para obtener la viscosidad de los fluidos exige una calibracion con un fluido de referencia apropiado, a la temperatura y presion de medicion; lo que impone un limite superior a la precision alcanzable ante la escasez de fluidos de referencia, especialmente a presiones y temperaturas elevadas.
Estudios recientes sobre viscosidad giran en torno a tres ejes de gran interes para los investigadores. Primero, la construccion de equipos capaces de determinar el comportamiento viscoso de liquidos de manera absoluta en amplios rangos de temperatura, presion y viscosidad, segundo, la busqueda de fluidos que puedan servir de referencia para calibrar los viscosimetros relativos, y tercero, la modelizacion del comportamiento en presion y temperatura de esta propiedad de transporte con ecuaciones precisas y con sentido fisico.
El Grupo de Investigacion TERMOCAL, Universidad de Valladolid, concibio la idea de desarrollar un viscosimetro de hilo vibrante que sirva de viscosimetro absoluto en amplios rangos de temperatura, presion y viscosidad.
El equipo emplea un sensor con hilo de tungsteno anclado en ambos extremos, con longitud de 50 mm y radio nominal de 75 µm; la teoria del viscosimetro de hilo vibrante se basa en las vibraciones transversales de un hilo tensionado, las frecuencias de vibracion permiten medir la viscosidad del fluido que rodea al hilo vibrante."
"Liquid viscosities of benzene, n-tetradecane, and benzene +n-tetradecane from 313 to 393 K and pressures up to 60 MPa : Experiment and modeling","https://scispace.com/paper/liquid-viscosities-of-benzene-n-tetradecane-and-benzene-n-46dhwcec5i","2007","Journal Article","Fluid Phase Equilibria","Miguel A. Hernández-Galván
Miguel A. Hernández-Galván
Fernando García-Sánchez
Ricardo Macías-Salinas","10.1016/J.FLUID.2007.08.010","https://uolab.groups.et.byu.net/files/Viscosity%20paper.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses an Eyring‑theory‑based model with cubic EOS to correlate liquid viscosities of benzene and n‑tetradecane across temperature and pressure ranges.",""
"Theory of the Viscosity of Liquids as a Function of Temperature and Pressure","https://scispace.com/paper/theory-of-the-viscosity-of-liquids-as-a-function-of-1bmnwpdb1n","1937","Journal Article","Journal of Chemical Physics","Raymond H. Ewell
Henry Eyring","10.1063/1.1750108","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses Eyring theory to relate viscosity to vaporization energy, providing activation‑energy analysis and thermodynamic relations for liquids, though no hydrocarbons are specifically addressed.","An equation for the viscosity of a liquid in terms of the energy of vaporization and the molal volume is developed from the reaction rate theory of viscosity due to Eyring. The degree of freedom corresponding to flow is assumed to be a translational one, and the energy of activation for the elementary flow process is assumed to be some fraction, 1/n, of the energy of vaporization. On applying this equation to a large number of normal liquids it is found that molecules possessing spherical symmetry have n = 3, while nonspherical molecules have n greater than 3, usually about 4. It is shown that the ratio ΔEvap/ΔEvis,  where  ΔEvis=R(d ln η)/(d(1/T)), can be taken as an index of the size and shape of the molecule, or more precisely, of the unit of flow in the liquid. The activation energy for flow in liquid metals is a very small fraction of the energy of vaporization, ranging from 1/10 to 1/25, leading to the conclusion that the metal ions flow without their valence electrons. Viscosity data confirm the S8..."
"Investigation of Dynamic Viscosity of Several Aliphatic and Aromatic Hydrocarbons in Connection with Thermo-Occupancy Function","https://scispace.com/paper/investigation-of-dynamic-viscosity-of-several-aliphatic-and-2y5vgj5l","2022","Journal Article","Acta Physica Polonica A","Fatma Sahin-Dinc","10.12693/aphyspola.141.535","https://scispace.com/pdf/investigation-of-dynamic-viscosity-of-several-aliphatic-and-2y5vgj5l.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Analyzes liquid hydrocarbon viscosity using activation energy coefficients and a thermo-occupancy function linking thermodynamic properties to transport behavior.",""
"Bestimmung der Aktivierungsenergie von Fluiden mit Hilfe der Viskositätsmessung","https://scispace.com/paper/bestimmung-der-aktivierungsenergie-von-fluiden-mit-hilfe-der-5dsd9x1ih7","2016","","","Mario Müller","","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses Eyring theory to relate activation energy to fluid viscosity; addresses fluid thermodynamics, but does not discuss liquid hydrocarbons.","Increasing the efficiency of modern drive technology can be carried out by minimizing the mechanical losses at the tribological contacts. The reliable function depends essentially on the thermophysical properties of the lubricant used. At the same time, higher power density ever higher demands are placed on the operational reliability of the drive train in case of malfunctions or other unforeseen operating situations. This also requires a continuous expansion of calculation and simulation methods. As the development trend leads to higher performance and power densities, the detailed account of thermophysical models of lubricants for reliable prediction of the operating performance of tribological contacts is essential. Eyring has placed with his kinetic theory the foundation for describing the viscosity by exchange processes. After Eyring the flow of a fluid based on the fact that particles can jump into an existing hole from the environment. Assuming that the internal friction is determined by the interaction between the molecules, existing interaction forces must be canceled and reformed. The energy required for this corresponds to the activation energy."
"Viscosité de mélanges d'alcanes et d'alkylbenzènes en fonction de la pression et de la température : Application aux coupes pétrolières","https://scispace.com/paper/viscosite-de-melanges-d-alcanes-et-d-alkylbenzenes-en-4c7elqil9a","1988","Dissertation","","Mohammed Kanti","","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Measures viscosity of alkane/alkylbenzene mixtures across temperature and pressure; derives activation enthalpies and discusses thermodynamic effects on petroleum fluid viscosity.","La viscosite de melanges binaires ou ternaires d'alcanes purs et d'alkylbenzenes purs, ainsi que de coupes petrolieres est mesuree a des temperatures comprises entre 20 et 100**(o)c et a des pressions allant jusqu'a 1000 bars. Les resultats experimentaux sont confrontes aux calculs de diverses lois de melange. Pour les melanges binaires, les enthalpies libres molaires d'activation d'exces sont determinees a partir des mesures de viscosite et en fonction de la pression et de la temperature. L'utilisation des lois de melange, valables pour les melanges simples n'etant pas applicables aux melanges complexes comme les coupes petrolieres a rendu necessaire le developpement d'un modele base sur la seule connaissance, a pression atmospherique et a temperature donnee, de la viscosite du fluide considere."
"On the Mechanism of Viscosity of Liquids","https://scispace.com/paper/on-the-mechanism-of-viscosity-of-liquids-2h3awfkbxn","1949","Journal Article","Journal of Chemical Physics","M. S. Telang","10.1063/1.1747315","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Derives viscosity‑temperature relationship via Eyring theory, treating activation energy as surface free energy; hydrocarbon fluids are not addressed.","A new viscosity‐temperature relationship for liquids has been derived, and its application has been studied. The derivation is based upon the theory of viscosity by Eyring et al., rectifying the ``activation energy'' term. The ``activation energy'' term has been shown to be equivalent to the free energy of formation of a surface and the error committed by previous workers regarding the evaluation of ``activation energy'' has been discussed. The proposed equation is free from any arbitrary or empirical terms, and since, in particular, it does not involve any quantities derived from viscosity measurements, it makes a direct calculation of viscosity possible."
"Viscosity of several liquid hydrocarbons as a function of temperature, pressure, and free volume","https://scispace.com/paper/viscosity-of-several-liquid-hydrocarbons-as-a-function-of-46chgbuhtp","1967","Journal Article","Journal of Chemical Physics","David L. Hogenboom
Wayne Webb
Joseph A. Dixon","10.1063/1.1841088","https://pubs.aip.org/aip/jcp/article-pdf/46/7/2586/18849543/2586_1_online.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Applies Eyring theory to model viscosity of liquid hydrocarbons over temperature and pressure; does not discuss activation energy and only partially addresses thermodynamic aspects.","Viscosity measurements have been made on nine pure hydrocarbon liquids at six temperatures ranging from 15.56° to 135°C and at pressures as high as 4000 bars. The samples included rigid bicyclic compounds of relatively high symmetry and three n‐alkanes, n‐C12, n‐C15, and n‐C18. These data were analyzed using the Eyring significant‐structure theory, the Cohen—Turnbull free‐volume model, and the empirical Doolittle equations. All of these equations produced essentially identical fits to the data at atmospheric pressure. The hypothesis that the constants v0 and vs in these equations represent the specific volume of a ``solid'' or condensed phase was tested by comparing best‐fit values of these constants with experimental values for the solid‐phase specific volume.The Cohen—Turnbull and Doolittle equations were modified for use at elevated pressures with the result that the values of v0 necessary to satisfy the equations at high pressures were shown to be analogous to the specific volumes of a glassy state at..."
"Viscosity of liquids","https://scispace.com/paper/viscosity-of-liquids-1fydlucow8","1952","Journal Article","Proceedings of The Royal Society A: Mathematical, Physical and Engineering Sciences","E. N. Da C. Andrade","10.1098/RSPA.1952.0193","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Discusses Eyring theory to correlate viscosity of liquid hydrocarbons; includes thermodynamic data snippets but lacks explicit activation energy discussion.","I venture to lay before you certain considerations concerning the viscosity of liquids which may find a place in a discussion of the theory of liquids. They mostly pertain to experiment, but, after all, the purpose of physical experiment is to stimulate the theoretical physicist. I shall deal briefly with three aspects of viscosity: the viscosity of molten metals, which represent the simplest class of liquid; the influence of an external electric field on the viscosity of liquids; and the viscosity of liquids in the supercooled state. In the last two cases a positive effect has been found in the case of polar liquids only. As regards the viscosity of the simplest liquids, the difficulties in the way of a mathematically satisfactory theory, which shall lead to results that can be checked by experiment, are formidable, as will be agreed by anyone who has studied the papers of Born & Green, in which the greatest ingenuity and exceptional mathematical powers have not, as far as viscosity is concerned, produced formulae free from arbitrary constants for comparison with laboratory measurement. This being the case, a cruder picture that leads to figures in close agreement with experiment may perhaps be pardoned, until the pursuit of greater perfection brings something more precise and more firmly founded."
