"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A Rigorous Yet Simple Dead Oil Viscosity Correlation","https://scispace.com/paper/a-rigorous-yet-simple-dead-oil-viscosity-correlation-4b1nds0zdt","2013","Journal Article","Petroleum Science and Technology","H. S. Naji","10.1080/10916466.2010.551242","","A rigorous yet simple correlation for the estimation of dead oil viscosity is proposed. The new correlation requires oil API gravity and system temperature as the only correlation parameters. It calculates the Watson characterization factor as a function of oil API gravity. Hence, the paraffinicity or character of the crude oil is implicitly taken into account. The new correlation was checked against other correlations for a full spectrum of oil API gravities and system temperatures. It performed exceptionally good thus eliminating the lengthy and complex calculation procedure of other correlations.","In this paper, a simple correlation for the estimation of dead oil viscosity is proposed, which requires oil API gravity and system temperature as the only correlation parameters, thus eliminating the lengthy and complex calculation procedure of other correlations."
"A Heavy-oil Viscosity Predicting Model Considering the Effect of Asphalt and Water Content","https://scispace.com/paper/a-heavy-oil-viscosity-predicting-model-considering-the-rra517vlfrst","","","","钟海全
刘忠能
李颖川","10.3969/j.issn.1000-9752.2012.06.026","","Heavy oil viscosity was usually thought to be the function of temperature and API approximately.But it was also related to asphalt and colloid content,water content and so on.Four conventional viscosity prediction models for degassed heavy oil were evaluated by using sample test data from 29 heavy oil wells.A new model was established by using the method of comparison and fitting.The new model took temperature,API,asphalt and colloid content and water content into consideration.The viscosity of the heavy oil samples was forecasted by using the new model.The average relative errors within the two ranges of API are 15.76% and 17.20% respectively,which is far less than that of the evaluation models.The viscosity of other 11 heavy oil samples is also predicted by using the new model.The average and relative error is 17.66%,it can basically meet the requirement of engineering accuracy.","A new heavy-oil viscosity predicting model is established, considering temperature, API, asphalt, colloid content, and water content, outperforming conventional models with average relative errors of 15.76-17.20% and 17.66% for 40 and 11 samples, respectively."
"Development of compositional-based models for prediction of heavy crude oil viscosity: Application in reservoir simulations","https://scispace.com/paper/development-of-compositional-based-models-for-prediction-of-1fp506cm17","2023","Journal Article","Journal of Molecular Liquids","Zi-mei Liu
Xuliang Zhao
Yifan Tian
Jianping Tan","10.1016/j.molliq.2023.122918","","The properties of crude oil are of great importance for efficient recovery of oil from oil fields. The properties are primarily used in reservoir simulations for prediction of oil recovery in order to save time and obtain the best recovery. Among various crude oil properties, viscosity is the most important one which should be precisely simulated. In this work, a novel approach based on machine learning is developed for estimation of crude oil viscosity as function of input parameters. Multiple distinct tree-based ensemble models are applied on the available dataset in this work to predict heavy-oil viscosity. AdaBoost Decision Trees (ADA-DT), Random Forest (RF), and Extremely Randomized Trees (ERT) are selected tree-based ensembles that used in this work for the simulation of oil viscosity. An Isolation Forest is applied on the dataset to remove outliers and also the earthworm optimization algorithm (EWA) is employed to find the optimum values of models' hyper-parameters. Optimized models of ADA-DT, ERT, and RF have RMSE error rates of 35.42, 27.02, and 58.71. Thus, ERT is selected as the best model of the dataset used in this work. ","This study develops machine learning-based models to predict heavy crude oil viscosity using tree-based ensembles (AdaBoost, Random Forest, and Extremely Randomized Trees) with optimized hyperparameters, achieving RMSE error rates of 27.02-58.71."
"The Corresponding States Viscosity Model Applied to Heavy Oil Systems","https://scispace.com/paper/the-corresponding-states-viscosity-model-applied-to-heavy-4qkr88qlk4","2003","Journal Article","Journal of Canadian Petroleum Technology","N. Lindeloff
Karen Schou Pedersen
H.P. Ronningsen
J. Milter","10.2118/04-09-04","","The corresponding states viscosity model is widely accepted in the petroleum industry for calculating oil and gas viscosities. In its classical form, the model predicts the viscosities of complex mixtures using methane as a reference compound. As a result of the chosen reference compound, the corresponding states model has good predictive capabilities for gases and light oil systems, whereas the predictive performance deteriorates for heavier oil systems. The present work discusses how far the performance of the corresponding states model can be stretched in its classical form with methane as the reference compound. It further outlines a procedure based on a viscosity correlation for stable oil mixtures that may take over when the methane reference temperature becomes too low to apply methane as reference compound. In the temperature region where the new correlation is to take over from the classical corresponding states model, there is a smooth transition between the viscosity results obtained with either method. Therefore, the new correlation can be seen as an extrapolation of the corresponding states method to be applicable to heavy aromatic oil mixtures at relatively low temperature.","In this article, the authors discuss how far the performance of the corresponding states model can be stretched in its classical form with methane as the reference compound and outline a procedure based on a viscosity correlation for stable oil mixtures that may take over when the methane reference temperature becomes too low to apply methane as a reference compound."
"A Viscosity Correlation for Mixtures of Heavy Oil, Bitumen, and Petroleum Fractions","https://scispace.com/paper/a-viscosity-correlation-for-mixtures-of-heavy-oil-bitumen-4f6go1iri2","1984","Journal Article","Society of Petroleum Engineers Journal","W.R. Shu","10.2118/11280-PA","","High viscosity is a major constraint in the recovery and transportation of heavy crudes and tar sand bitumens. Viscosity reduction may be achieved by mixing the crude with a light petroleum solvent. This paper presents a generalized correlation for calculating viscosities of such mixtures. A power-law mixing rule was generalized by use of the Einstein-type relationship for the viscosities of infinitely dilute solutions. Literature and in-house data were compiled to establish the correlation. The final correlation requires only density and viscosity of the two fluids to predict blending viscosity at any mixture composition. The correlation is tested with heavy-oil/solvent blending data and gives an excellent prediction of the blending viscosities.","In this paper, a generalized correlation for calculating viscosities of such mixtures was presented by using the Einstein-type relationship for the viscosity of infinitely dilute solutions."
"General Expression of Heavy Oil Viscosity","https://scispace.com/paper/general-expression-of-heavy-oil-viscosity-0mk6jjizkj0u","","","","KANG Zhi-yong
ZHANG Yong","10.3969/j.issn.1006-6535.2005.06.032","","A general equation for calculating crude oil viscosity is established by using statistic theory according to 44 viscosity-temperature curves from 22 typical heavy oil blocks of 6 oil fields in Liaohe oil province,hence to calculate the viscosity of degassed crude at arbitrary temperature.The maximum relative error of the method is 9.9%,average relative error is 3.3%.This equation can provide reference to heavy oil classification,fluid evaluation and heavy oil reservoir development.","A general equation for heavy oil viscosity calculation is established using statistical theory, with a maximum relative error of 9.9% and average relative error of 3.3%, applicable for heavy oil classification, evaluation, and reservoir development."
"Prediction of heavy oil viscosity","https://scispace.com/paper/prediction-of-heavy-oil-viscosity-dnwhhh7nuh","1998","","","Trevor Bennison","","","The impetus for this work stems from the difficulties in obtaining reliable viscosity measurements for live oils from viscous oil reservoirs. The use of correlations to estimate fluid viscosity can provide a useful method to provide the reservoir engineer with preliminary values for reservoir calculations. Many different correlations based on measured fluid properties have been presented in the literature to estimate fluid viscosity. Using measured data supplied through the offices of the DTI, these correlations have been assessed for their ability to predict measured viscosity data for several North Sea heavy oil reservoirs. Arising from this assessment, prediction of dead oil viscosity, on which most of the correlations for bubble-point and thereby undersaturated oil viscosity are based, was found to be poor. Work to identify an alternative correlation was undertaken and a new correlation developed. Particular correlations for bubble-point and undersaturated oil viscosity have been recommended as providing the best match with measured data. An engineer's flow chart has been created to summarise the findings.","In this article, the authors used measured data supplied through the offices of the DTI, and assessed the correlations for their ability to predict measured viscosity data for several North Sea heavy oil reservoirs."
"Non-Newtonian Viscosity Modeling of Crude Oils—Comparison Among Models","https://scispace.com/paper/non-newtonian-viscosity-modeling-of-crude-oils-comparison-284lpmb4a1","2009","Journal Article","International Journal of Thermophysics","Patsy V. Ramírez-González
J.P. Aguayo
Sergio E. Quiñones-Cisneros
Ulrich K. Deiters","10.1007/S10765-009-0578-2","","The presence of precipitated wax or even just low temperatures may induce non-Newtonian rheological behavior in crude oils. Such behavior can be found at operating conditions, for instance, in reservoirs at deep-water conditions. Therefore, reliable rheological models for crude oils applicable over the wide range of conditions the fluid may encounter are essential for a large number of oil technology applications. Such models must also be composition dependent, as many applications require predicting the rheological behavior of the fluid under strong compositional changes, e.g., recovery applications such as vapor extraction (VAPEX) processes or blending of fluids for improved rheological characteristics for piping, among many other applications. In this study, a comparative analysis between some published models applicable to the description of the non-Newtonian behavior of crude oils is carried out. Emphasis is placed on the stability of the model predictions within the wide range of conditions that may be encountered.","In this paper, a comparative analysis between some published models applicable to the description of the non-Newtonian behavior of crude oils is carried out, focusing on the stability of the model predictions within a wide range of conditions that may be encountered."
"Density and Viscosity Modeling and Characterization of Heavy Oils","https://scispace.com/paper/density-and-viscosity-modeling-and-characterization-of-heavy-k4bg1v54vq","2005","Journal Article","Energy & Fuels","Sergio Cisneros
Simon Ivar Andersen
Jefferson L. Creek","10.1021/EF0497715","","Viscosity and density are key properties for the evaluation, simulation, and development of petroleum reservoirs. Previously, the friction theory (f-theory) was shown to be capable of delivering simple and accurate viscosity models for petroleum reservoir fluids with molecular weights up to ∼200 g/mol and viscosities up to ∼10 mPa s, under usual reservoir conditions. As a basis, the f-theory approach requires a compositional characterization procedure that is used in conjunction with a van der Waals type of equation of state (EOS). This is achieved using simple cubic EOSs, which are widely used within the oil industry. Further work also established the basis for extending the approach to heavy oils. Thus, in this work, the extended f-theory approach is further discussed with the study and modeling of a wider set of representative heavy reservoir fluids with viscosities up to thousands of mPa·s. Essential to the presented extended approach for heavy oils is, first, achievement of accurate PvT results for t...","In this article, the authors extended the friction theory approach to a wider set of representative heavy reservoir fluids with viscosities up to thousands of mPa·s, and achieved accurate PvT results for heavy oils."
"Viscosity Modeling and Prediction of Reservoir Fluids: From Natural Gas to Heavy Oils","https://scispace.com/paper/viscosity-modeling-and-prediction-of-reservoir-fluids-from-42zcjrdu50","2004","Journal Article","International Journal of Thermophysics","Sergio E. Quiñones-Cisneros
Claus K. Zéberg-Mikkelsen
A. Baylaucq
Christian Boned","10.1007/S10765-004-5743-Z","","Viscosity and density are key properties for the evaluation, simulation, and development of petroleum reservoirs. In previous work, the friction theory (f-theory) models have already been shown capable of providing simple but accurate viscosity modeling results of petroleum reservoir fluids with molar masses up to around 200 g · mol−1. As a base, the f-theory approach requires a compositional characterization procedure to be used in conjunction with a van der Waals type of equation of state (EOS). This is achieved using simple cubic EOS, which are widely used within the oil industry. In this work, the f-theory approach is further extended to the viscosity modeling of heavy reservoir fluids with viscosities up to thousands of mPa · s. Essential to the extended approach presented here is the achievement of accurate pvT results for the EOS characterized fluid. In particular, it has been found that for accurate viscosity modeling of heavy oils, a compressibility correction in the way the EOS is coupled to the viscosity model is required. With the approach presented in this work, the potential of the f-theory for viscosity modeling of reservoir fluids is extended to practically all kind of reservoir fluids, from light ones to heavy ones. Additionally, the approach has been completed with an accurate density modeling scheme.","In this paper, the authors further extended the f-theory approach to the viscosity modeling of heavy reservoir fluids with viscosities up to thousands of mPa · s."
"Improvement on the Viscosity Models for the Effects of Temperature and Pressure on the Viscosity of Heavy Crude Oils","https://scispace.com/paper/improvement-on-the-viscosity-models-for-the-effects-of-2f1e0pwe0s","2017","Journal Article","Journal of Chemical & Engineering Data","Brittany MacDonald
Adango Miadonye","10.1021/ACS.JCED.6B00619","","With the industrial need for oil creating a growing scarcity of light, transport-efficient oil, a need for more readily transportable heavy crude is being developed. The processes of production and pipeline transportation of heavy crude oil require an understanding of material composition and physical and rheological characteristics, and the changes which occur at different process parameters. Typically this would require a series of expensive and wasteful experiments, done by exposing various crudes to varied processing conditions, such as pressure and temperature, which through exposure produce changes in the oil properties but are overall inefficient. Modeling eliminates these needs as a simple equation can predict heavy crude oil characteristics given parameters of use. This study comparatively examines a new simplistic, semiempirical equation against current empirical models for the viscosity of Tangleflags and Athabasca bitumen. The equation gave values of relatively low percent errors for the effec...","In this paper, a semi-empirical equation was proposed to predict the viscosity of Tangleflags and Athabasca bitumen, and the equation gave values of relatively low percent errors."
"The Dead Oil Viscosity Correlations A C-Sharp Simulation Approach@@@معادلات رياضية لحساب لزوجة الزيت الخام عند الظروف السطحية - نظرة من جانب النمذجة الرياضية لمكامن البترول","https://scispace.com/paper/the-dead-oil-viscosity-correlations-a-c-sharp-simulation-19zotjrxsd","2011","Journal Article","Journal of King Abdulaziz University-engineering Sciences","Hassan S. Naji","10.4197/ENG.22-2.4","","Over the years, different authors have proposed many dead oil viscosity correlations for various crude oil mixtures from all over the world. The majority of correlations fall into a category that uses system temperature and oil API gravity as the only required correlation parameters. This category may be designated as the least accurate and it might not successfully correlate viscosity since it ignores the paraffinicity or character of the crude oil. Another set of correlations offers increased accuracy in calculating dead oil viscosity. It requires, however, the Watson characterization factor as an extra parameter. This factor provides a means of identifying the paraffinicity or character of the crude oil. It stays reasonably constant for the chemically similar hydrocarbons. The Watson factor and the boiling point are related together through the API gravity. In this paper, two regression equations, for evaluating the boiling point of hydrocarbons (pure components and crude oils) as a function of API gravity, are proposed. Therefore, the Watson factor will be evaluated as a function of boiling point; which, in turn will be evaluated as a function of API gravity. It has also been concluded from this study that the boiling point equation for pure components may be used for crude oils having API gravity greater than 30. Another aspect of the paper is that all correlations were coded in an object-oriented manner, which offers flexibility in programming and allows the different parts of the code to be described easily and in a natural manner as if they were real world objects. This allows for their simple inclusion in commercial black oil or compositional reservoir simulators. Eight correlations of the first category and two of the second category were considered for a sharp review from a simulation perspective. Eight experimentally-generated data sets were used to test all correlations and to quality check the validity of the proposed equations.","In this article, two regression equations, for evaluating the boiling point of hydrocarbons (pure components and crude oils) as a function of API gravity, are proposed, which can be used to evaluate the paraffinicity or character of crude oil."
"Prediction of Heavy Oil Viscosity in Current Reservoir Simulators","https://scispace.com/paper/prediction-of-heavy-oil-viscosity-in-current-reservoir-4h782zp1mu","2009","Proceedings Article","","J.J. de la Porte
N. Riesco
V. Vesovic","10.2118/125500-MS","","An accurate estimate of oil mobility is essential for reliable exploitation of oil and gas reservoirs, and for development of new technologies, particularly with the industry’s increasing reliance on unconventional resources such as heavy oil. The viscosity of heavy oil decreases rapidly with increasing temperature and with increasing concentrations of light components, and can vary over 2-3 orders of magnitude during typical exploration and productions operations. The accurate prediction of the viscosity is therefore difficult, and simple extrapolation of the current methods used in the petroleum industry for predicting the fluid viscosity in conventional reservoirs is fraught with difficulties. This paper presents a comprehensive analysis of the use of a simple mole-average power law that is based on the Arrhenius equation and used as the default method in some widely used thermal reservoir simulators to predict mixture viscosity. Predictions based on the equation are compared to a set of accurate benchmark data that are based on the best available experimental data for hydrocarbon mixtures. These data cover a temperature range of -175°C to 200°C, and extend to high pressures. The accuracy of the data is better than 5%, sufficient for validation purposes. We summarize the conditions under which the simple power law provides reasonable estimates of viscosity, identify the ranges of pressure and temperature and composition for which large deviations can be expected, and discuss the implications of using the equation to predict heavy-oil viscosity. We demonstrate that the current practice of fitting scarce experimental data and using the viscosity of the heavy fraction as an adjustable parameter is problematic, and that extrapolation in temperature or to similar mixtures is highly unreliable.","In this article, the authors present a comprehensive analysis of the use of a simple mole-average power law that is based on the Arrhenius equation and used as the default method in some widely used thermal reservoir simulators to predict mixture viscosity."
